CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Income_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Card_Category,Marital_Status,status
721194858,48,M,4,Graduate,Rp 8.000.000 - Rp 15.000.000,40,6,2,2,4438000.0,2472000,1966000.0,1725000,60,0.557,Blue,Unknown,Existing Customer
713876958,32,F,0,Unknown,Unknown,26,6,2,4,14140000.0,845000,13295000.0,5036000,76,0.06,Blue,Single,Existing Customer
810220833,42,M,4,Graduate,Rp 3.000.000 - Rp 5.000.000,37,3,6,2,15871000.0,2086000,13785000.0,1562000,43,0.131,Silver,Unknown,Existing Customer
803366358,38,M,1,Unknown,Rp 5.000.000 - Rp 8.000.000,29,5,2,1,14596000.0,2192000,12404000.0,1300000,25,0.15,Blue,Single,Existing Customer
717637908,36,F,2,College,< Rp 3.000.000,23,4,3,3,1924000.0,971000,953000.0,4951000,96,0.505,Blue,Unknown,Existing Customer
708272808,45,M,5,Graduate,< Rp 3.000.000,36,4,2,1,2718000.0,1474000,1244000.0,3542000,59,0.542,Blue,Single,Existing Customer
779263533,34,F,2,Graduate,Unknown,16,2,2,1,32292000.0,1731000,30561000.0,7564000,76,0.054,Silver,Unknown,Existing Customer
717173358,60,F,0,Graduate,Rp 3.000.000 - Rp 5.000.000,47,1,2,3,9502000.0,1881000,7621000.0,14418000,100,0.198,Blue,Single,Existing Customer
721500108,42,M,1,Graduate,Rp 5.000.000 - Rp 8.000.000,32,5,3,2,3741000.0,0,3741000.0,4402000,55,0.0,Blue,Unknown,Existing Customer
710903358,65,F,0,Unknown,< Rp 3.000.000,55,5,2,1,6352000.0,1386000,4966000.0,3709000,77,0.218,Blue,Single,Existing Customer
802666083,48,F,2,Uneducated,< Rp 3.000.000,42,3,2,2,2055000.0,0,2055000.0,3656000,63,0.0,Blue,Unknown,Existing Customer
721393083,52,F,3,Unknown,Rp 3.000.000 - Rp 5.000.000,45,5,3,1,6053000.0,577000,5476000.0,5035000,64,0.095,Blue,Single,Existing Customer
716332533,38,F,3,Unknown,Rp 3.000.000 - Rp 5.000.000,36,6,1,3,3509000.0,1819000,1690000.0,4712000,84,0.518,Blue,Unknown,Existing Customer
712053033,46,M,2,Unknown,Rp 8.000.000 - Rp 15.000.000,34,1,3,2,3841000.0,1411000,2430000.0,8444000,81,0.367,Blue,Single,Existing Customer
778732158,50,F,3,Uneducated,Unknown,30,4,1,3,1507000.0,0,1507000.0,4037000,83,0.0,Blue,Unknown,Existing Customer
709793133,43,F,2,Unknown,Rp 3.000.000 - Rp 5.000.000,36,6,1,4,3186000.0,2470000,716000.0,1531000,37,0.775,Blue,Single,Existing Customer
708697983,56,M,0,High School,> Rp 15.000.000,49,2,2,2,34516000.0,2156000,32360000.0,8766000,78,0.062,Blue,Unknown,Existing Customer
716766033,40,F,4,Unknown,< Rp 3.000.000,31,5,2,3,1768000.0,1242000,526000.0,4439000,65,0.702,Blue,Single,Existing Customer
790168083,51,M,0,High School,Rp 8.000.000 - Rp 15.000.000,44,2,2,3,22741000.0,2176000,20565000.0,8438000,100,0.096,Blue,Unknown,Existing Customer
793395933,59,F,1,High School,< Rp 3.000.000,53,4,3,3,2716000.0,1740000,976000.0,4208000,69,0.641,Blue,Single,Existing Customer
714449283,44,M,4,Uneducated,Rp 8.000.000 - Rp 15.000.000,36,1,3,1,25428000.0,1528000,23900000.0,13360000,97,0.06,Blue,Unknown,Existing Customer
709925733,32,F,0,Unknown,< Rp 3.000.000,22,1,3,2,1438300.0,713000,725300.0,5099000,80,0.496,Blue,Single,Existing Customer
788974608,48,M,3,Graduate,Rp 5.000.000 - Rp 8.000.000,35,5,1,3,2829000.0,2342000,487000.0,1561000,41,0.828,Blue,Unknown,Existing Customer
711982383,62,M,1,Graduate,Rp 5.000.000 - Rp 8.000.000,49,3,3,2,21805000.0,1777000,20028000.0,4694000,79,0.081,Blue,Single,Existing Customer
823609383,43,F,4,College,Rp 3.000.000 - Rp 5.000.000,39,4,1,3,1438300.0,0,1438300.0,4528000,83,0.0,Blue,Unknown,Existing Customer
718451133,48,M,2,Graduate,Rp 5.000.000 - Rp 8.000.000,40,4,5,4,14951000.0,1413000,13538000.0,3899000,68,0.095,Blue,Single,Existing Customer
717912483,43,M,4,Graduate,Rp 8.000.000 - Rp 15.000.000,27,5,2,0,27259000.0,0,27259000.0,1376000,35,0.0,Blue,Unknown,Existing Customer
798717783,51,F,2,Unknown,< Rp 3.000.000,45,3,6,1,3250000.0,0,3250000.0,4752000,84,0.0,Blue,Single,Existing Customer
719671383,40,F,3,Uneducated,< Rp 3.000.000,30,2,3,2,2969000.0,0,2969000.0,4109000,70,0.0,Blue,Unknown,Existing Customer
719525358,52,M,0,Graduate,Rp 8.000.000 - Rp 15.000.000,43,4,3,3,8133000.0,1942000,6191000.0,3310000,76,0.239,Blue,Single,Existing Customer
783393633,46,M,3,Graduate,Rp 8.000.000 - Rp 15.000.000,37,6,4,3,1530000.0,0,1530000.0,4256000,78,0.0,Blue,Unknown,Existing Customer
710701233,44,F,5,Graduate,Unknown,37,3,1,1,17785000.0,1259000,16526000.0,3890000,72,0.071,Blue,Single,Existing Customer
719584608,40,M,4,High School,Rp 3.000.000 - Rp 5.000.000,32,3,1,1,1438300.0,0,1438300.0,4215000,79,0.0,Blue,Unknown,Existing Customer
767049258,44,M,4,High School,> Rp 15.000.000,37,5,3,3,8396000.0,1672000,6724000.0,1475000,35,0.199,Blue,Single,Existing Customer
714771708,36,F,0,College,Unknown,26,5,3,3,4692000.0,0,4692000.0,4281000,69,0.0,Blue,Unknown,Existing Customer
824789283,36,M,2,High School,Rp 3.000.000 - Rp 5.000.000,32,3,5,2,2683000.0,1533000,1150000.0,2373000,73,0.571,Blue,Single,Existing Customer
719976558,47,M,2,Graduate,Rp 5.000.000 - Rp 8.000.000,34,3,2,4,4249000.0,1562000,2687000.0,1881000,49,0.368,Blue,Unknown,Existing Customer
716593533,56,M,1,High School,Rp 8.000.000 - Rp 15.000.000,45,4,1,3,5070000.0,0,5070000.0,3651000,76,0.0,Blue,Single,Existing Customer
708864708,46,M,3,College,Rp 8.000.000 - Rp 15.000.000,36,4,2,2,24869000.0,1729000,23140000.0,1409000,36,0.07,Blue,Unknown,Existing Customer
718734408,57,F,2,Unknown,Rp 3.000.000 - Rp 5.000.000,45,3,4,3,2428000.0,932000,1496000.0,4823000,62,0.384,Blue,Single,Existing Customer
719989008,47,F,1,High School,Unknown,36,5,1,0,25657000.0,2216000,23441000.0,1121000,25,0.086,Blue,Unknown,Existing Customer
711157833,56,F,3,Graduate,Rp 3.000.000 - Rp 5.000.000,36,4,1,0,5108000.0,1656000,3452000.0,1631000,41,0.324,Blue,Single,Existing Customer
712955433,36,F,4,Uneducated,Rp 3.000.000 - Rp 5.000.000,16,1,2,2,4370000.0,1222000,3148000.0,7223000,90,0.28,Blue,Unknown,Existing Customer
718861458,49,M,5,Unknown,Rp 5.000.000 - Rp 8.000.000,36,6,1,2,5159000.0,1532000,3627000.0,1826000,37,0.297,Blue,Single,Existing Customer
797666358,46,F,4,Uneducated,Rp 3.000.000 - Rp 5.000.000,40,6,3,1,1474000.0,843000,631000.0,4452000,65,0.572,Blue,Unknown,Existing Customer
711002058,42,M,4,Unknown,Rp 3.000.000 - Rp 5.000.000,33,1,3,1,5306000.0,2410000,2896000.0,7437000,94,0.454,Blue,Single,Existing Customer
720219633,52,F,0,Graduate,Rp 3.000.000 - Rp 5.000.000,42,4,3,2,2723000.0,1544000,1179000.0,4108000,70,0.567,Blue,Unknown,Existing Customer
709710783,35,F,0,High School,< Rp 3.000.000,36,4,3,4,5931000.0,0,5931000.0,2730000,71,0.0,Blue,Single,Existing Customer
717985158,47,M,2,Graduate,Rp 3.000.000 - Rp 5.000.000,37,3,3,1,2335000.0,1373000,962000.0,4267000,81,0.588,Blue,Unknown,Existing Customer
789830058,44,M,4,Unknown,Rp 8.000.000 - Rp 15.000.000,34,4,1,2,21573000.0,1585000,19988000.0,1384000,36,0.073,Blue,Single,Existing Customer
710423358,35,F,1,College,Unknown,29,4,3,3,1438300.0,966000,472300.0,5249000,81,0.672,Blue,Unknown,Existing Customer
708338958,58,F,1,Graduate,< Rp 3.000.000,36,5,1,1,3173000.0,1713000,1460000.0,3797000,75,0.54,Blue,Single,Existing Customer
789960783,39,F,1,Graduate,< Rp 3.000.000,30,1,2,3,10398000.0,1630000,8768000.0,7702000,81,0.157,Silver,Unknown,Existing Customer
708534033,45,F,3,Graduate,Rp 3.000.000 - Rp 5.000.000,36,5,2,2,6274000.0,883000,5391000.0,4726000,82,0.141,Blue,Single,Existing Customer
710840433,34,M,1,College,Rp 3.000.000 - Rp 5.000.000,20,2,1,3,7452000.0,1656000,5796000.0,3339000,51,0.222,Blue,Unknown,Existing Customer
718927533,45,M,3,Graduate,Rp 8.000.000 - Rp 15.000.000,32,5,2,2,24487000.0,2517000,21970000.0,1512000,42,0.103,Blue,Single,Existing Customer
714731208,63,F,0,Uneducated,Rp 3.000.000 - Rp 5.000.000,55,6,2,2,1651000.0,1433000,218000.0,4050000,58,0.868,Blue,Unknown,Existing Customer
719410083,49,F,2,Unknown,< Rp 3.000.000,36,4,3,0,1635000.0,1220000,415000.0,4807000,56,0.746,Blue,Single,Existing Customer
718488783,40,M,3,College,Rp 3.000.000 - Rp 5.000.000,30,2,2,2,4802000.0,1701000,3101000.0,4821000,66,0.354,Blue,Unknown,Existing Customer
711788583,61,F,1,Graduate,< Rp 3.000.000,36,3,2,2,3466000.0,1444000,2022000.0,15075000,124,0.417,Blue,Single,Existing Customer
779877858,53,F,2,College,< Rp 3.000.000,37,2,3,2,2081000.0,1342000,739000.0,4428000,80,0.645,Blue,Unknown,Existing Customer
714343608,56,F,0,Unknown,< Rp 3.000.000,36,5,4,2,3033000.0,0,3033000.0,4921000,90,0.0,Blue,Single,Existing Customer
709137558,52,M,0,Uneducated,Rp 8.000.000 - Rp 15.000.000,36,6,4,4,5395000.0,2084000,3311000.0,4689000,69,0.386,Blue,Unknown,Existing Customer
715129233,51,F,4,High School,< Rp 3.000.000,36,6,3,3,2902000.0,1634000,1268000.0,4748000,74,0.563,Blue,Single,Existing Customer
789507408,48,F,3,College,Unknown,40,2,6,1,2337000.0,0,2337000.0,5203000,90,0.0,Blue,Unknown,Existing Customer
714064908,57,F,1,Graduate,< Rp 3.000.000,36,4,2,3,1771000.0,1289000,482000.0,4813000,84,0.728,Blue,Single,Existing Customer
714054408,50,M,3,College,Rp 5.000.000 - Rp 8.000.000,42,1,2,3,12889000.0,1822000,11067000.0,8272000,79,0.141,Blue,Unknown,Existing Customer
815727183,36,M,3,High School,Rp 8.000.000 - Rp 15.000.000,31,6,1,1,5228000.0,1443000,3785000.0,2683000,62,0.276,Blue,Single,Existing Customer
712986483,32,M,3,College,Rp 8.000.000 - Rp 15.000.000,36,3,5,2,15412000.0,0,15412000.0,3993000,73,0.0,Blue,Unknown,Existing Customer
788866983,63,F,0,Unknown,< Rp 3.000.000,48,5,2,1,1438300.0,0,1438300.0,3383000,61,0.0,Blue,Single,Existing Customer
715354008,43,M,3,Graduate,> Rp 15.000.000,36,6,1,2,25937000.0,0,25937000.0,3785000,68,0.0,Blue,Unknown,Existing Customer
780689733,65,M,0,Unknown,Unknown,56,3,2,2,11332000.0,633000,10699000.0,2758000,56,0.056,Blue,Single,Existing Customer
708964683,48,F,4,College,Unknown,36,3,2,1,3310000.0,0,3310000.0,14542000,89,0.0,Blue,Unknown,Existing Customer
788701608,42,F,4,Graduate,< Rp 3.000.000,26,5,2,3,2950000.0,1705000,1245000.0,1260000,32,0.578,Blue,Single,Existing Customer
772220433,44,M,3,College,Rp 5.000.000 - Rp 8.000.000,33,6,3,2,15468000.0,1187000,14281000.0,4484000,81,0.077,Blue,Unknown,Existing Customer
713384508,28,M,1,High School,< Rp 3.000.000,14,4,3,1,2897000.0,1398000,1499000.0,2698000,73,0.483,Blue,Single,Existing Customer
764211033,50,F,3,Uneducated,< Rp 3.000.000,43,6,2,1,3199000.0,2517000,682000.0,4483000,87,0.787,Blue,Unknown,Existing Customer
714403983,43,M,2,Graduate,Rp 8.000.000 - Rp 15.000.000,36,2,2,1,34427000.0,1613000,32814000.0,13545000,112,0.047,Blue,Single,Existing Customer
718345233,45,F,2,Graduate,< Rp 3.000.000,35,6,3,3,3240000.0,2517000,723000.0,1904000,41,0.777,Blue,Unknown,Existing Customer
716400633,33,M,3,High School,Rp 3.000.000 - Rp 5.000.000,24,6,3,3,5156000.0,1427000,3729000.0,2057000,54,0.277,Blue,Single,Existing Customer
802822833,51,M,3,Uneducated,Rp 8.000.000 - Rp 15.000.000,45,5,2,2,21328000.0,0,21328000.0,3825000,76,0.0,Blue,Unknown,Existing Customer
787519683,41,F,2,Graduate,< Rp 3.000.000,30,3,2,2,3028000.0,2270000,758000.0,4727000,78,0.75,Blue,Single,Existing Customer
713710383,43,M,2,High School,Rp 8.000.000 - Rp 15.000.000,30,4,2,1,18008000.0,2517000,15491000.0,2659000,55,0.14,Blue,Unknown,Existing Customer
808281483,46,F,2,Unknown,< Rp 3.000.000,41,2,3,3,2665000.0,2157000,508000.0,4249000,76,0.809,Blue,Single,Existing Customer
800164083,53,M,1,Uneducated,> Rp 15.000.000,47,4,2,2,20783000.0,1257000,19526000.0,3819000,76,0.06,Blue,Unknown,Existing Customer
718285308,44,F,1,Unknown,< Rp 3.000.000,31,6,3,1,1438300.0,0,1438300.0,3576000,55,0.0,Blue,Single,Existing Customer
720809358,39,M,1,College,Rp 3.000.000 - Rp 5.000.000,32,1,1,3,4874000.0,2317000,2557000.0,7776000,98,0.475,Blue,Unknown,Existing Customer
709886583,37,F,2,High School,< Rp 3.000.000,28,5,2,1,7411000.0,633000,6778000.0,2761000,77,0.085,Blue,Single,Existing Customer
711842508,45,M,3,Uneducated,Rp 8.000.000 - Rp 15.000.000,33,2,3,3,9303000.0,1580000,7723000.0,7825000,87,0.17,Blue,Unknown,Existing Customer
789666333,39,M,2,Graduate,Rp 5.000.000 - Rp 8.000.000,24,2,3,2,21679000.0,1073000,20606000.0,15581000,115,0.049,Blue,Single,Existing Customer
709126833,42,M,3,College,> Rp 15.000.000,36,3,2,1,21670000.0,2183000,19487000.0,4121000,81,0.101,Blue,Unknown,Existing Customer
709110633,41,M,1,Graduate,Rp 8.000.000 - Rp 15.000.000,29,5,1,3,21684000.0,1748000,19936000.0,1329000,24,0.081,Blue,Single,Existing Customer
