,CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Income_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio,Card_Category,Marital_Status,status,is_attrited
16,708870408,53,M,4,Unknown,< Rp 3.000.000,43,6,3,1,3844000.0,2079000,1765000.0,4271000,56,0.541,Blue,Single,Existing Customer,0
17,715832058,40,F,5,Graduate,< Rp 3.000.000,36,2,2,3,4512000.0,1172000,3340000.0,14414000,98,0.26,Blue,Unknown,Existing Customer,0
18,717322833,55,M,2,Unknown,Rp 8.000.000 - Rp 15.000.000,36,5,2,2,10604000.0,1988000,8616000.0,1578000,30,0.187,Blue,Single,Existing Customer,0
19,715728108,27,F,0,Graduate,< Rp 3.000.000,36,1,1,2,4548000.0,1450000,3098000.0,14330000,131,0.319,Blue,Unknown,Existing Customer,0
20,720190908,59,M,1,High School,Rp 5.000.000 - Rp 8.000.000,51,6,2,4,8973000.0,1300000,7673000.0,4699000,72,0.145,Blue,Single,Existing Customer,0
21,713146683,35,F,1,High School,Unknown,36,2,3,2,4460000.0,0,4460000.0,5473000,79,0.0,Blue,Unknown,Existing Customer,0
22,710363433,26,M,0,High School,< Rp 3.000.000,36,6,3,3,2735000.0,1348000,1387000.0,2441000,58,0.493,Blue,Single,Existing Customer,0
23,788802483,47,F,3,Uneducated,< Rp 3.000.000,29,2,2,3,2814000.0,1595000,1219000.0,4766000,87,0.567,Blue,Unknown,Existing Customer,0
24,714028083,36,F,1,Unknown,Unknown,31,6,1,2,2222000.0,0,2222000.0,4095000,65,0.0,Blue,Single,Existing Customer,0
25,719112258,42,M,4,College,Rp 5.000.000 - Rp 8.000.000,35,3,3,3,2516000.0,1360000,1156000.0,4692000,79,0.541,Blue,Unknown,Existing Customer,0
26,807226683,48,M,3,Unknown,Rp 3.000.000 - Rp 5.000.000,43,6,1,3,5279000.0,1115000,4164000.0,1642000,41,0.211,Blue,Single,Existing Customer,0
27,710115108,45,F,2,Graduate,Rp 3.000.000 - Rp 5.000.000,37,5,2,3,5562000.0,1556000,4006000.0,4568000,76,0.28,Blue,Unknown,Existing Customer,0
28,718837683,55,M,2,High School,> Rp 15.000.000,49,6,3,4,3029000.0,1505000,1524000.0,2394000,50,0.497,Blue,Single,Existing Customer,0
29,710675508,40,F,3,College,Unknown,28,2,3,1,2321000.0,1190000,1131000.0,5149000,98,0.513,Blue,Unknown,Existing Customer,0
30,716671983,38,M,0,High School,Rp 8.000.000 - Rp 15.000.000,29,3,3,2,5983000.0,1885000,4098000.0,4141000,65,0.315,Blue,Single,Existing Customer,0
31,714032883,45,M,2,College,Rp 3.000.000 - Rp 5.000.000,36,1,1,1,4718000.0,1591000,3127000.0,4598000,80,0.337,Blue,Unknown,Existing Customer,0
32,711285633,33,F,0,Unknown,Unknown,36,6,1,3,2735000.0,1769000,966000.0,3306000,71,0.647,Blue,Single,Existing Customer,0
33,720831783,50,F,0,High School,< Rp 3.000.000,36,3,2,1,2242000.0,888000,1354000.0,4708000,81,0.396,Blue,Unknown,Existing Customer,0
34,714963558,46,M,3,Graduate,Rp 3.000.000 - Rp 5.000.000,36,4,2,3,1438300.0,0,1438300.0,4374000,71,0.0,Blue,Single,Existing Customer,0
35,709311633,41,M,2,Graduate,Rp 5.000.000 - Rp 8.000.000,36,6,2,0,27000000.0,0,27000000.0,1209000,39,0.0,Silver,Unknown,Existing Customer,0
36,771602883,42,M,3,High School,Rp 8.000.000 - Rp 15.000.000,30,4,5,4,4147000.0,1719000,2428000.0,1776000,44,0.415,Blue,Single,Existing Customer,0
37,711459483,43,F,3,High School,< Rp 3.000.000,36,6,2,3,2242000.0,0,2242000.0,4845000,66,0.0,Blue,Unknown,Existing Customer,0
38,715934283,39,F,2,High School,Rp 3.000.000 - Rp 5.000.000,26,6,3,2,3142000.0,1639000,1503000.0,3046000,56,0.522,Blue,Single,Existing Customer,0
39,767753958,37,M,3,Graduate,Rp 3.000.000 - Rp 5.000.000,31,6,1,2,8504000.0,1956000,6548000.0,1881000,51,0.23,Blue,Unknown,Existing Customer,0
40,708207783,50,F,3,High School,< Rp 3.000.000,42,1,3,2,1477000.0,0,1477000.0,4680000,80,0.0,Blue,Single,Existing Customer,0
41,769662033,45,F,2,College,< Rp 3.000.000,29,2,2,3,1438300.0,0,1438300.0,5025000,85,0.0,Blue,Unknown,Existing Customer,0
42,721332033,42,M,2,Unknown,Rp 8.000.000 - Rp 15.000.000,30,4,2,1,29195000.0,892000,28303000.0,4411000,67,0.031,Blue,Single,Existing Customer,0
43,771431133,47,F,4,Graduate,< Rp 3.000.000,35,4,2,4,1438300.0,0,1438300.0,3778000,69,0.0,Blue,Unknown,Existing Customer,0
44,712572858,38,M,3,High School,Rp 8.000.000 - Rp 15.000.000,29,2,1,3,3413000.0,1801000,1612000.0,3831000,45,0.528,Blue,Single,Existing Customer,0
45,720235608,60,F,0,Graduate,< Rp 3.000.000,36,4,3,1,3828000.0,0,3828000.0,4470000,58,0.0,Blue,Unknown,Existing Customer,0
46,789121233,53,F,2,Unknown,< Rp 3.000.000,41,5,1,3,2329000.0,2290000,39000.0,4609000,76,0.983,Blue,Single,Existing Customer,0
47,712891833,45,F,2,Graduate,< Rp 3.000.000,36,3,1,1,2723000.0,1902000,821000.0,3875000,84,0.698,Blue,Unknown,Existing Customer,0
48,710374008,53,M,1,Graduate,Rp 8.000.000 - Rp 15.000.000,47,1,1,2,34516000.0,1583000,32933000.0,12906000,100,0.046,Blue,Single,Existing Customer,0
49,788386908,48,M,3,Graduate,Rp 8.000.000 - Rp 15.000.000,41,3,2,2,34516000.0,1531000,32985000.0,1156000,29,0.044,Platinum,Unknown,Existing Customer,0
50,767243208,42,F,3,Graduate,< Rp 3.000.000,35,3,2,2,2555000.0,1587000,968000.0,4193000,79,0.621,Blue,Single,Existing Customer,0
51,713247408,51,F,3,Uneducated,< Rp 3.000.000,36,3,1,2,1750000.0,813000,937000.0,4333000,68,0.465,Blue,Unknown,Existing Customer,0
52,710832108,52,F,2,Unknown,Rp 3.000.000 - Rp 5.000.000,44,2,3,3,9017000.0,2359000,6658000.0,4552000,81,0.262,Blue,Single,Existing Customer,0
53,716211258,59,F,1,College,< Rp 3.000.000,49,6,5,4,4072000.0,0,4072000.0,1966000,43,0.0,Blue,Unknown,Existing Customer,0
54,721511883,40,F,3,Graduate,< Rp 3.000.000,28,6,2,2,1709000.0,0,1709000.0,4981000,79,0.0,Blue,Single,Existing Customer,0
55,771222558,45,F,3,Graduate,< Rp 3.000.000,32,6,1,3,2900000.0,2018000,882000.0,4467000,79,0.696,Blue,Unknown,Existing Customer,0
56,709265208,47,F,4,Graduate,< Rp 3.000.000,37,4,3,2,1438300.0,780000,658300.0,4422000,59,0.542,Blue,Single,Existing Customer,0
57,806970033,48,M,3,High School,Rp 3.000.000 - Rp 5.000.000,43,2,2,3,1753000.0,1434000,319000.0,4588000,77,0.818,Blue,Unknown,Existing Customer,0
58,714426783,38,F,2,Graduate,Unknown,31,2,3,2,14041000.0,2154000,11887000.0,1467000,29,0.153,Blue,Single,Existing Customer,0
59,721011858,63,M,1,Graduate,< Rp 3.000.000,52,6,3,3,1438300.0,0,1438300.0,3913000,78,0.0,Blue,Unknown,Existing Customer,0
60,779895108,39,M,3,Unknown,Rp 8.000.000 - Rp 15.000.000,23,6,1,4,2718000.0,2156000,562000.0,1711000,36,0.793,Blue,Single,Existing Customer,0
61,788199858,42,F,3,High School,Unknown,34,1,3,1,2798000.0,1049000,1749000.0,5758000,87,0.375,Blue,Unknown,Existing Customer,0
62,815472108,42,M,3,High School,Rp 3.000.000 - Rp 5.000.000,37,3,3,3,2247000.0,1045000,1202000.0,1300000,31,0.465,Blue,Single,Existing Customer,0
63,708707808,57,M,2,Graduate,Rp 5.000.000 - Rp 8.000.000,45,4,1,2,2480000.0,1584000,896000.0,3438000,66,0.639,Blue,Unknown,Existing Customer,0
64,787450758,57,M,1,Unknown,Rp 5.000.000 - Rp 8.000.000,43,3,3,1,19090000.0,0,19090000.0,4712000,88,0.0,Blue,Single,Existing Customer,0
65,717942033,52,M,2,Uneducated,> Rp 15.000.000,42,1,1,3,33552000.0,1252000,32300000.0,14490000,98,0.037,Blue,Unknown,Existing Customer,0
66,721349883,51,F,4,Graduate,< Rp 3.000.000,39,3,2,1,2847000.0,2082000,765000.0,3672000,59,0.731,Blue,Single,Existing Customer,0
67,814989933,45,F,4,College,< Rp 3.000.000,40,1,2,1,1795000.0,1058000,737000.0,5575000,73,0.589,Blue,Unknown,Existing Customer,0
68,710175783,45,F,3,High School,Unknown,25,4,2,1,1986000.0,1042000,944000.0,4303000,59,0.525,Blue,Single,Existing Customer,0
69,709054083,50,F,1,Graduate,< Rp 3.000.000,32,6,1,3,2652000.0,1911000,741000.0,4816000,79,0.721,Blue,Unknown,Existing Customer,0
70,708813033,47,M,1,Graduate,Rp 3.000.000 - Rp 5.000.000,36,5,3,0,6509000.0,2033000,4476000.0,1409000,37,0.312,Blue,Single,Existing Customer,0
71,716219808,49,M,3,Graduate,Rp 5.000.000 - Rp 8.000.000,36,5,2,3,15942000.0,0,15942000.0,1742000,41,0.0,Blue,Unknown,Existing Customer,0
72,758965158,44,M,5,High School,Rp 8.000.000 - Rp 15.000.000,37,4,2,3,15638000.0,1729000,13909000.0,4396000,83,0.111,Blue,Single,Existing Customer,0
73,708694983,55,F,1,Uneducated,< Rp 3.000.000,36,1,2,1,3150000.0,2222000,928000.0,14750000,96,0.705,Blue,Unknown,Existing Customer,0
74,779351208,49,M,2,Unknown,Rp 5.000.000 - Rp 8.000.000,34,4,1,4,5176000.0,0,5176000.0,1902000,56,0.0,Blue,Single,Existing Customer,0
75,778933983,55,F,0,Uneducated,Unknown,39,4,3,3,11249000.0,2012000,9237000.0,3882000,55,0.179,Blue,Unknown,Existing Customer,0
76,771688983,53,F,2,High School,< Rp 3.000.000,41,4,1,2,2252000.0,1811000,441000.0,4201000,68,0.804,Blue,Single,Existing Customer,0
77,771237933,47,M,1,Uneducated,Rp 8.000.000 - Rp 15.000.000,34,4,1,3,20620000.0,1085000,19535000.0,1477000,23,0.053,Blue,Unknown,Existing Customer,0
78,720917808,35,M,2,High School,Rp 3.000.000 - Rp 5.000.000,36,5,3,4,2100000.0,950000,1150000.0,2623000,74,0.452,Blue,Single,Existing Customer,0
79,817616433,55,F,2,College,Unknown,41,6,2,2,7613000.0,0,7613000.0,4268000,69,0.0,Blue,Unknown,Existing Customer,0
80,712216533,44,M,5,Unknown,Rp 8.000.000 - Rp 15.000.000,34,6,2,3,8206000.0,763000,7443000.0,1715000,43,0.093,Blue,Single,Existing Customer,0
81,714296358,52,F,2,College,< Rp 3.000.000,44,4,1,3,3433000.0,2486000,947000.0,4831000,78,0.724,Blue,Unknown,Existing Customer,0
82,717384183,58,F,3,Graduate,< Rp 3.000.000,53,1,3,1,2669000.0,2048000,621000.0,4863000,79,0.767,Blue,Single,Existing Customer,0
83,721194858,48,M,4,Graduate,Rp 8.000.000 - Rp 15.000.000,40,6,2,2,4438000.0,2472000,1966000.0,1725000,60,0.557,Blue,Unknown,Existing Customer,0
84,713876958,32,F,0,Unknown,Unknown,26,6,2,4,14140000.0,845000,13295000.0,5036000,76,0.06,Blue,Single,Existing Customer,0
85,810220833,42,M,4,Graduate,Rp 3.000.000 - Rp 5.000.000,37,3,6,2,15871000.0,2086000,13785000.0,1562000,43,0.131,Silver,Unknown,Existing Customer,0
86,803366358,38,M,1,Unknown,Rp 5.000.000 - Rp 8.000.000,29,5,2,1,14596000.0,2192000,12404000.0,1300000,25,0.15,Blue,Single,Existing Customer,0
87,717637908,36,F,2,College,< Rp 3.000.000,23,4,3,3,1924000.0,971000,953000.0,4951000,96,0.505,Blue,Unknown,Existing Customer,0
88,708272808,45,M,5,Graduate,< Rp 3.000.000,36,4,2,1,2718000.0,1474000,1244000.0,3542000,59,0.542,Blue,Single,Existing Customer,0
89,779263533,34,F,2,Graduate,Unknown,16,2,2,1,32292000.0,1731000,30561000.0,7564000,76,0.054,Silver,Unknown,Existing Customer,0
90,717173358,60,F,0,Graduate,Rp 3.000.000 - Rp 5.000.000,47,1,2,3,9502000.0,1881000,7621000.0,14418000,100,0.198,Blue,Single,Existing Customer,0
91,721500108,42,M,1,Graduate,Rp 5.000.000 - Rp 8.000.000,32,5,3,2,3741000.0,0,3741000.0,4402000,55,0.0,Blue,Unknown,Existing Customer,0
92,710903358,65,F,0,Unknown,< Rp 3.000.000,55,5,2,1,6352000.0,1386000,4966000.0,3709000,77,0.218,Blue,Single,Existing Customer,0
93,802666083,48,F,2,Uneducated,< Rp 3.000.000,42,3,2,2,2055000.0,0,2055000.0,3656000,63,0.0,Blue,Unknown,Existing Customer,0
94,721393083,52,F,3,Unknown,Rp 3.000.000 - Rp 5.000.000,45,5,3,1,6053000.0,577000,5476000.0,5035000,64,0.095,Blue,Single,Existing Customer,0
95,716332533,38,F,3,Unknown,Rp 3.000.000 - Rp 5.000.000,36,6,1,3,3509000.0,1819000,1690000.0,4712000,84,0.518,Blue,Unknown,Existing Customer,0
96,712053033,46,M,2,Unknown,Rp 8.000.000 - Rp 15.000.000,34,1,3,2,3841000.0,1411000,2430000.0,8444000,81,0.367,Blue,Single,Existing Customer,0
97,778732158,50,F,3,Uneducated,Unknown,30,4,1,3,1507000.0,0,1507000.0,4037000,83,0.0,Blue,Unknown,Existing Customer,0
98,709793133,43,F,2,Unknown,Rp 3.000.000 - Rp 5.000.000,36,6,1,4,3186000.0,2470000,716000.0,1531000,37,0.775,Blue,Single,Existing Customer,0
99,708697983,56,M,0,High School,> Rp 15.000.000,49,2,2,2,34516000.0,2156000,32360000.0,8766000,78,0.062,Blue,Unknown,Existing Customer,0
100,716766033,40,F,4,Unknown,< Rp 3.000.000,31,5,2,3,1768000.0,1242000,526000.0,4439000,65,0.702,Blue,Single,Existing Customer,0
101,790168083,51,M,0,High School,Rp 8.000.000 - Rp 15.000.000,44,2,2,3,22741000.0,2176000,20565000.0,8438000,100,0.096,Blue,Unknown,Existing Customer,0
102,793395933,59,F,1,High School,< Rp 3.000.000,53,4,3,3,2716000.0,1740000,976000.0,4208000,69,0.641,Blue,Single,Existing Customer,0
103,714449283,44,M,4,Uneducated,Rp 8.000.000 - Rp 15.000.000,36,1,3,1,25428000.0,1528000,23900000.0,13360000,97,0.06,Blue,Unknown,Existing Customer,0
104,709925733,32,F,0,Unknown,< Rp 3.000.000,22,1,3,2,1438300.0,713000,725300.0,5099000,80,0.496,Blue,Single,Existing Customer,0
105,788974608,48,M,3,Graduate,Rp 5.000.000 - Rp 8.000.000,35,5,1,3,2829000.0,2342000,487000.0,1561000,41,0.828,Blue,Unknown,Existing Customer,0
106,711982383,62,M,1,Graduate,Rp 5.000.000 - Rp 8.000.000,49,3,3,2,21805000.0,1777000,20028000.0,4694000,79,0.081,Blue,Single,Existing Customer,0
107,823609383,43,F,4,College,Rp 3.000.000 - Rp 5.000.000,39,4,1,3,1438300.0,0,1438300.0,4528000,83,0.0,Blue,Unknown,Existing Customer,0
108,718451133,48,M,2,Graduate,Rp 5.000.000 - Rp 8.000.000,40,4,5,4,14951000.0,1413000,13538000.0,3899000,68,0.095,Blue,Single,Existing Customer,0
109,717912483,43,M,4,Graduate,Rp 8.000.000 - Rp 15.000.000,27,5,2,0,27259000.0,0,27259000.0,1376000,35,0.0,Blue,Unknown,Existing Customer,0
110,798717783,51,F,2,Unknown,< Rp 3.000.000,45,3,6,1,3250000.0,0,3250000.0,4752000,84,0.0,Blue,Single,Existing Customer,0
111,719671383,40,F,3,Uneducated,< Rp 3.000.000,30,2,3,2,2969000.0,0,2969000.0,4109000,70,0.0,Blue,Unknown,Existing Customer,0
112,719525358,52,M,0,Graduate,Rp 8.000.000 - Rp 15.000.000,43,4,3,3,8133000.0,1942000,6191000.0,3310000,76,0.239,Blue,Single,Existing Customer,0
113,783393633,46,M,3,Graduate,Rp 8.000.000 - Rp 15.000.000,37,6,4,3,1530000.0,0,1530000.0,4256000,78,0.0,Blue,Unknown,Existing Customer,0
114,710701233,44,F,5,Graduate,Unknown,37,3,1,1,17785000.0,1259000,16526000.0,3890000,72,0.071,Blue,Single,Existing Customer,0
115,719584608,40,M,4,High School,Rp 3.000.000 - Rp 5.000.000,32,3,1,1,1438300.0,0,1438300.0,4215000,79,0.0,Blue,Unknown,Existing Customer,0
116,767049258,44,M,4,High School,> Rp 15.000.000,37,5,3,3,8396000.0,1672000,6724000.0,1475000,35,0.199,Blue,Single,Existing Customer,0
117,714771708,36,F,0,College,Unknown,26,5,3,3,4692000.0,0,4692000.0,4281000,69,0.0,Blue,Unknown,Existing Customer,0
118,824789283,36,M,2,High School,Rp 3.000.000 - Rp 5.000.000,32,3,5,2,2683000.0,1533000,1150000.0,2373000,73,0.571,Blue,Single,Existing Customer,0
119,719976558,47,M,2,Graduate,Rp 5.000.000 - Rp 8.000.000,34,3,2,4,4249000.0,1562000,2687000.0,1881000,49,0.368,Blue,Unknown,Existing Customer,0
120,716593533,56,M,1,High School,Rp 8.000.000 - Rp 15.000.000,45,4,1,3,5070000.0,0,5070000.0,3651000,76,0.0,Blue,Single,Existing Customer,0
121,708864708,46,M,3,College,Rp 8.000.000 - Rp 15.000.000,36,4,2,2,24869000.0,1729000,23140000.0,1409000,36,0.07,Blue,Unknown,Existing Customer,0
122,718734408,57,F,2,Unknown,Rp 3.000.000 - Rp 5.000.000,45,3,4,3,2428000.0,932000,1496000.0,4823000,62,0.384,Blue,Single,Existing Customer,0
123,719989008,47,F,1,High School,Unknown,36,5,1,0,25657000.0,2216000,23441000.0,1121000,25,0.086,Blue,Unknown,Existing Customer,0
124,711157833,56,F,3,Graduate,Rp 3.000.000 - Rp 5.000.000,36,4,1,0,5108000.0,1656000,3452000.0,1631000,41,0.324,Blue,Single,Existing Customer,0
125,712955433,36,F,4,Uneducated,Rp 3.000.000 - Rp 5.000.000,16,1,2,2,4370000.0,1222000,3148000.0,7223000,90,0.28,Blue,Unknown,Existing Customer,0
126,718861458,49,M,5,Unknown,Rp 5.000.000 - Rp 8.000.000,36,6,1,2,5159000.0,1532000,3627000.0,1826000,37,0.297,Blue,Single,Existing Customer,0
127,797666358,46,F,4,Uneducated,Rp 3.000.000 - Rp 5.000.000,40,6,3,1,1474000.0,843000,631000.0,4452000,65,0.572,Blue,Unknown,Existing Customer,0
128,711002058,42,M,4,Unknown,Rp 3.000.000 - Rp 5.000.000,33,1,3,1,5306000.0,2410000,2896000.0,7437000,94,0.454,Blue,Single,Existing Customer,0
129,720219633,52,F,0,Graduate,Rp 3.000.000 - Rp 5.000.000,42,4,3,2,2723000.0,1544000,1179000.0,4108000,70,0.567,Blue,Unknown,Existing Customer,0
130,709710783,35,F,0,High School,< Rp 3.000.000,36,4,3,4,5931000.0,0,5931000.0,2730000,71,0.0,Blue,Single,Existing Customer,0
131,717985158,47,M,2,Graduate,Rp 3.000.000 - Rp 5.000.000,37,3,3,1,2335000.0,1373000,962000.0,4267000,81,0.588,Blue,Unknown,Existing Customer,0
132,789830058,44,M,4,Unknown,Rp 8.000.000 - Rp 15.000.000,34,4,1,2,21573000.0,1585000,19988000.0,1384000,36,0.073,Blue,Single,Existing Customer,0
133,710423358,35,F,1,College,Unknown,29,4,3,3,1438300.0,966000,472300.0,5249000,81,0.672,Blue,Unknown,Existing Customer,0
134,708338958,58,F,1,Graduate,< Rp 3.000.000,36,5,1,1,3173000.0,1713000,1460000.0,3797000,75,0.54,Blue,Single,Existing Customer,0
135,789960783,39,F,1,Graduate,< Rp 3.000.000,30,1,2,3,10398000.0,1630000,8768000.0,7702000,81,0.157,Silver,Unknown,Existing Customer,0
136,708534033,45,F,3,Graduate,Rp 3.000.000 - Rp 5.000.000,36,5,2,2,6274000.0,883000,5391000.0,4726000,82,0.141,Blue,Single,Existing Customer,0
137,710840433,34,M,1,College,Rp 3.000.000 - Rp 5.000.000,20,2,1,3,7452000.0,1656000,5796000.0,3339000,51,0.222,Blue,Unknown,Existing Customer,0
138,718927533,45,M,3,Graduate,Rp 8.000.000 - Rp 15.000.000,32,5,2,2,24487000.0,2517000,21970000.0,1512000,42,0.103,Blue,Single,Existing Customer,0
139,714731208,63,F,0,Uneducated,Rp 3.000.000 - Rp 5.000.000,55,6,2,2,1651000.0,1433000,218000.0,4050000,58,0.868,Blue,Unknown,Existing Customer,0
140,719410083,49,F,2,Unknown,< Rp 3.000.000,36,4,3,0,1635000.0,1220000,415000.0,4807000,56,0.746,Blue,Single,Existing Customer,0
141,718488783,40,M,3,College,Rp 3.000.000 - Rp 5.000.000,30,2,2,2,4802000.0,1701000,3101000.0,4821000,66,0.354,Blue,Unknown,Existing Customer,0
142,711788583,61,F,1,Graduate,< Rp 3.000.000,36,3,2,2,3466000.0,1444000,2022000.0,15075000,124,0.417,Blue,Single,Existing Customer,0
143,779877858,53,F,2,College,< Rp 3.000.000,37,2,3,2,2081000.0,1342000,739000.0,4428000,80,0.645,Blue,Unknown,Existing Customer,0
144,714343608,56,F,0,Unknown,< Rp 3.000.000,36,5,4,2,3033000.0,0,3033000.0,4921000,90,0.0,Blue,Single,Existing Customer,0
145,709137558,52,M,0,Uneducated,Rp 8.000.000 - Rp 15.000.000,36,6,4,4,5395000.0,2084000,3311000.0,4689000,69,0.386,Blue,Unknown,Existing Customer,0
146,715129233,51,F,4,High School,< Rp 3.000.000,36,6,3,3,2902000.0,1634000,1268000.0,4748000,74,0.563,Blue,Single,Existing Customer,0
147,789507408,48,F,3,College,Unknown,40,2,6,1,2337000.0,0,2337000.0,5203000,90,0.0,Blue,Unknown,Existing Customer,0
148,714064908,57,F,1,Graduate,< Rp 3.000.000,36,4,2,3,1771000.0,1289000,482000.0,4813000,84,0.728,Blue,Single,Existing Customer,0
149,714054408,50,M,3,College,Rp 5.000.000 - Rp 8.000.000,42,1,2,3,12889000.0,1822000,11067000.0,8272000,79,0.141,Blue,Unknown,Existing Customer,0
150,815727183,36,M,3,High School,Rp 8.000.000 - Rp 15.000.000,31,6,1,1,5228000.0,1443000,3785000.0,2683000,62,0.276,Blue,Single,Existing Customer,0
151,712986483,32,M,3,College,Rp 8.000.000 - Rp 15.000.000,36,3,5,2,15412000.0,0,15412000.0,3993000,73,0.0,Blue,Unknown,Existing Customer,0
152,788866983,63,F,0,Unknown,< Rp 3.000.000,48,5,2,1,1438300.0,0,1438300.0,3383000,61,0.0,Blue,Single,Existing Customer,0
153,715354008,43,M,3,Graduate,> Rp 15.000.000,36,6,1,2,25937000.0,0,25937000.0,3785000,68,0.0,Blue,Unknown,Existing Customer,0
154,780689733,65,M,0,Unknown,Unknown,56,3,2,2,11332000.0,633000,10699000.0,2758000,56,0.056,Blue,Single,Existing Customer,0
155,708964683,48,F,4,College,Unknown,36,3,2,1,3310000.0,0,3310000.0,14542000,89,0.0,Blue,Unknown,Existing Customer,0
156,788701608,42,F,4,Graduate,< Rp 3.000.000,26,5,2,3,2950000.0,1705000,1245000.0,1260000,32,0.578,Blue,Single,Existing Customer,0
157,772220433,44,M,3,College,Rp 5.000.000 - Rp 8.000.000,33,6,3,2,15468000.0,1187000,14281000.0,4484000,81,0.077,Blue,Unknown,Existing Customer,0
158,713384508,28,M,1,High School,< Rp 3.000.000,14,4,3,1,2897000.0,1398000,1499000.0,2698000,73,0.483,Blue,Single,Existing Customer,0
159,764211033,50,F,3,Uneducated,< Rp 3.000.000,43,6,2,1,3199000.0,2517000,682000.0,4483000,87,0.787,Blue,Unknown,Existing Customer,0
160,714403983,43,M,2,Graduate,Rp 8.000.000 - Rp 15.000.000,36,2,2,1,34427000.0,1613000,32814000.0,13545000,112,0.047,Blue,Single,Existing Customer,0
161,718345233,45,F,2,Graduate,< Rp 3.000.000,35,6,3,3,3240000.0,2517000,723000.0,1904000,41,0.777,Blue,Unknown,Existing Customer,0
162,716400633,33,M,3,High School,Rp 3.000.000 - Rp 5.000.000,24,6,3,3,5156000.0,1427000,3729000.0,2057000,54,0.277,Blue,Single,Existing Customer,0
163,802822833,51,M,3,Uneducated,Rp 8.000.000 - Rp 15.000.000,45,5,2,2,21328000.0,0,21328000.0,3825000,76,0.0,Blue,Unknown,Existing Customer,0
164,787519683,41,F,2,Graduate,< Rp 3.000.000,30,3,2,2,3028000.0,2270000,758000.0,4727000,78,0.75,Blue,Single,Existing Customer,0
165,713710383,43,M,2,High School,Rp 8.000.000 - Rp 15.000.000,30,4,2,1,18008000.0,2517000,15491000.0,2659000,55,0.14,Blue,Unknown,Existing Customer,0
